,Unnamed: 0,text,polarity,truthful,tokens
0,0,"After recent week stay at the Affinia Hotels, I can definitely say i will be coming back. They offer so many in room amenities and services, Just a very comfortable and relaxed place to be. My most enjoyable experience at the Affinia Hotel was the amazing customization they offered, I would recommend Affinia hotels to anyone looking for a nice place to stay .
",pos,dec,"[('After', 'IN'), ('recent', 'JJ'), ('week', 'NN'), ('stay', 'VBP'), ('Affinia', 'NNP'), ('Hotels', 'NNP'), ('can', 'MD'), ('definitely', 'RB'), ('say', 'VB'), ('will', 'MD'), ('coming', 'VBG'), ('back', 'RB'), ('They', 'PRP'), ('offer', 'VBP'), ('many', 'JJ'), ('room', 'NN'), ('amenities', 'NNS'), ('services', 'NNS'), ('Just', 'NNP'), ('comfortable', 'JJ'), ('relaxed', 'JJ'), ('place', 'NN'), ('enjoyable', 'JJ'), ('experience', 'NN'), ('Affinia', 'NNP'), ('Hotel', 'NNP'), ('amazing', 'VBG'), ('customization', 'NN'), ('offered', 'VBD'), ('recommend', 'JJ'), ('Affinia', 'NNP'), ('hotels', 'NNS'), ('anyone', 'NN'), ('looking', 'VBG'), ('nice', 'JJ'), ('place', 'NN'), ('stay', 'NN')]"
1,1,"Although much too overpriced in my opinion, the hotel is spotless. The staff was very courteous. And the spa service ? Was a God send ! In a relatively flexible location for traveling for sight seeing so I didnt spend major bucks trying to get around the city ! LOVE IT ! Going back for my anniversary
",pos,dec,"[('Although', 'IN'), ('much', 'RB'), ('overpriced', 'VBN'), ('opinion', 'NN'), ('hotel', 'NN'), ('spotless', 'VBD'), ('The', 'DT'), ('staff', 'NN'), ('courteous', 'JJ'), ('And', 'CC'), ('spa', 'JJ'), ('service', 'NN'), ('Was', 'NNP'), ('God', 'NNP'), ('send', 'VBP'), ('relatively', 'RB'), ('flexible', 'JJ'), ('location', 'NN'), ('traveling', 'VBG'), ('sight', 'VBD'), ('seeing', 'VBG'), ('didnt', 'JJ'), ('spend', 'JJ'), ('major', 'JJ'), ('bucks', 'NNS'), ('trying', 'VBG'), ('get', 'VB'), ('around', 'IN'), ('city', 'NN'), ('LOVE', 'NNP'), ('Going', 'NNP'), ('back', 'RB'), ('anniversary', 'JJ')]"
2,2,"The Affinia hotel in Chicago was superb. the room service was exemplary and the food, I don't even know were to start. The chef obviously knew what he was doing, I especially loved the seafood, my personal favorite was the shrimp. Aside from this, I loved how beautiful the hotel was. It is definetly a bargain for the price, for that price you would probably get a good 3 star hotel but, I felt as if i was in a $10,000 a night 5 star hotel in the Europe. great bang for your buck. Would recommend it to anybody looking to relax at a great hotel with great amenities in a great city. My friends actually went their a while back because of me. They loved it! I know you will too.
",pos,dec,"[('The', 'DT'), ('Affinia', 'NNP'), ('hotel', 'NN'), ('Chicago', 'NNP'), ('superb', 'NN'), ('room', 'NN'), ('service', 'NN'), ('exemplary', 'JJ'), ('food', 'NN'), (""n't"", 'RB'), ('even', 'RB'), ('know', 'VB'), ('start', 'VBP'), ('The', 'DT'), ('chef', 'NN'), ('obviously', 'RB'), ('knew', 'VBD'), ('especially', 'RB'), ('loved', 'VBN'), ('seafood', 'JJ'), ('personal', 'JJ'), ('favorite', 'NN'), ('shrimp', 'NN'), ('Aside', 'NNP'), ('loved', 'VBD'), ('beautiful', 'JJ'), ('hotel', 'NN'), ('definetly', 'RB'), ('bargain', 'JJ'), ('price', 'NN'), ('price', 'NN'), ('probably', 'RB'), ('get', 'VB'), ('good', 'JJ'), ('star', 'NN'), ('hotel', 'NN'), ('felt', 'VBD'), ('10,000', 'CD'), ('night', 'NN'), ('star', 'NN'), ('hotel', 'NN'), ('Europe', 'NNP'), ('great', 'JJ'), ('bang', 'NN'), ('buck', 'NN'), ('Would', 'NNP'), ('recommend', 'VB'), ('anybody', 'NN'), ('looking', 'VBG'), ('relax', 'JJ'), ('great', 'JJ'), ('hotel', 'NN'), ('great', 'JJ'), ('amenities', 'NNS'), ('great', 'JJ'), ('city', 'NN'), ('friends', 'NNS'), ('actually', 'RB'), ('went', 'VBD'), ('back', 'RP'), ('They', 'PRP'), ('loved', 'VBD'), ('know', 'VBP'), ('will', 'MD')]"
3,3,"THIS HOTEL IS FANTASTIC. I stayed there on my way through Chicago towards Arizona, and could not believe the great quality of the hotel. I'd have thought I was in a Vegas suite. Really polite staff, great housekeeping, and amazing prices. On my way out, I was telling the manager about how much I'd loved the hotel, and he even offered me an extra night there! You can safely say that my trip was delayed roughly 24 hours.
",pos,dec,"[('THIS', 'NNP'), ('HOTEL', 'NNP'), ('FANTASTIC', 'NNP'), ('stayed', 'VBD'), ('way', 'NN'), ('Chicago', 'NNP'), ('towards', 'NNS'), ('Arizona', 'NNP'), ('believe', 'VBP'), ('great', 'JJ'), ('quality', 'JJ'), ('hotel', 'NN'), ('thought', 'VBD'), ('Vegas', 'NNP'), ('suite', 'JJ'), ('Really', 'NNP'), ('polite', 'JJ'), ('staff', 'NN'), ('great', 'JJ'), ('housekeeping', 'NN'), ('amazing', 'VBG'), ('prices', 'NNS'), ('way', 'NN'), ('telling', 'VBG'), ('manager', 'NN'), ('much', 'JJ'), ('loved', 'VBN'), ('hotel', 'NN'), ('even', 'RB'), ('offered', 'VBD'), ('extra', 'JJ'), ('night', 'NN'), ('You', 'PRP'), ('can', 'MD'), ('safely', 'RB'), ('say', 'VB'), ('trip', 'NN'), ('delayed', 'VBN'), ('roughly', 'RB'), ('hours', 'NNS')]"
4,4,"The Affinia Chicago is a wonderful place to stay, my husband and I stayed there for a week to visit some family and had an amazing time. The rooms were very well organized and comfortable, the staff there are very friendly, and the food there is more then amazing. we are defiantly going back next year.
",pos,dec,"[('The', 'DT'), ('Affinia', 'NNP'), ('Chicago', 'NNP'), ('wonderful', 'JJ'), ('place', 'NN'), ('stay', 'NN'), ('husband', 'RB'), ('stayed', 'VBD'), ('week', 'NN'), ('visit', 'NN'), ('family', 'NN'), ('amazing', 'JJ'), ('time', 'NN'), ('The', 'DT'), ('rooms', 'NNS'), ('well', 'RB'), ('organized', 'VBN'), ('comfortable', 'JJ'), ('staff', 'NN'), ('friendly', 'RB'), ('food', 'NN'), ('amazing', 'VBG'), ('defiantly', 'RB'), ('going', 'VBG'), ('back', 'RP'), ('next', 'JJ'), ('year', 'NN')]"
5,5,"The magnificent mile in Chicago is a great place to visit, and staying at the Affinia Chicago just made it that much better! The location is awesome - all of the great shopping spots were just moments away, and getting to Navy Pier was a cinch! And the accommodations themselves were wonderful! The hotel lets you completely customize your stay, all the way down to choosing your own pillow! Very impressed overall!
",pos,dec,"[('The', 'DT'), ('magnificent', 'JJ'), ('mile', 'NN'), ('Chicago', 'NNP'), ('great', 'JJ'), ('place', 'NN'), ('visit', 'NN'), ('staying', 'VBG'), ('Affinia', 'NNP'), ('Chicago', 'NNP'), ('just', 'RB'), ('made', 'VBD'), ('much', 'RB'), ('better', 'JJR'), ('The', 'DT'), ('location', 'NN'), ('awesome', 'RB'), ('great', 'JJ'), ('shopping', 'VBG'), ('spots', 'NNS'), ('just', 'RB'), ('moments', 'NNS'), ('away', 'RP'), ('getting', 'VBG'), ('Navy', 'NNP'), ('Pier', 'NNP'), ('cinch', 'NN'), ('And', 'CC'), ('accommodations', 'NNS'), ('wonderful', 'VBP'), ('The', 'DT'), ('hotel', 'NN'), ('lets', 'VBZ'), ('completely', 'RB'), ('customize', 'VB'), ('stay', 'JJ'), ('way', 'NN'), ('choosing', 'VBG'), ('pillow', 'JJ'), ('Very', 'RB'), ('impressed', 'JJ'), ('overall', 'NN')]"
6,6,"My stay at the Affinia last weekend was ideal and I can't wait to return. I was in town for a brief personal trip and wanted to have a clean, lovely room near the shopping downtown. Affinia fit the bill. The location was perfect, just one block from the magnificent mile. The decor was modern and sleek, and my room was impeccably clean. They even have a pillow menu! The price was pretty reasonable, too. I'll definitely be back.
",pos,dec,"[('stay', 'NN'), ('Affinia', 'NNP'), ('last', 'JJ'), ('weekend', 'NN'), ('ideal', 'VBP'), (""n't"", 'RB'), ('wait', 'JJ'), ('return', 'VB'), ('town', 'NN'), ('brief', 'JJ'), ('personal', 'JJ'), ('trip', 'NN'), ('wanted', 'VBD'), ('clean', 'JJ'), ('lovely', 'RB'), ('room', 'NN'), ('near', 'IN'), ('shopping', 'VBG'), ('downtown', 'JJ'), ('Affinia', 'NNP'), ('fit', 'NN'), ('bill', 'NN'), ('The', 'DT'), ('location', 'NN'), ('perfect', 'NN'), ('just', 'RB'), ('one', 'CD'), ('block', 'NN'), ('magnificent', 'NN'), ('mile', 'IN'), ('The', 'DT'), ('decor', 'NN'), ('modern', 'JJ'), ('sleek', 'JJ'), ('room', 'NN'), ('impeccably', 'RB'), ('clean', 'VBP'), ('They', 'PRP'), ('even', 'RB'), ('pillow', 'VBP'), ('menu', 'VBP'), ('The', 'DT'), ('price', 'NN'), ('pretty', 'RB'), ('reasonable', 'JJ'), (""'ll"", 'MD'), ('definitely', 'RB'), ('back', 'VB')]"
7,7,"We recently completed our first visit to Chicago and were pleasantly surprised by the Affinia Chicago hotel where we stayed. The hotel has gone to great lengths to offer extra services to their guests, including individual pillow choices, complimentary kits with items designed to enhance the city visit,and fine dining in two on-site restaurants, one of them roof-top with amazing city views. I would recommend this hotel to anyone visiting Chicago.
",pos,dec,"[('recently', 'RB'), ('completed', 'VBN'), ('first', 'JJ'), ('visit', 'NN'), ('Chicago', 'NNP'), ('pleasantly', 'RB'), ('surprised', 'VBD'), ('Affinia', 'NNP'), ('Chicago', 'NNP'), ('hotel', 'NN'), ('stayed', 'VBD'), ('The', 'DT'), ('hotel', 'NN'), ('gone', 'VBN'), ('great', 'JJ'), ('lengths', 'NNS'), ('offer', 'VBP'), ('extra', 'JJ'), ('services', 'NNS'), ('guests', 'NNS'), ('including', 'VBG'), ('individual', 'JJ'), ('pillow', 'NN'), ('choices', 'NNS'), ('complimentary', 'JJ'), ('kits', 'NNS'), ('items', 'NNS'), ('designed', 'VBN'), ('enhance', 'JJ'), ('city', 'NN'), ('visit', 'NN'), ('fine', 'JJ'), ('dining', 'VBG'), ('two', 'CD'), ('on-site', 'JJ'), ('restaurants', 'NNS'), ('one', 'CD'), ('roof-top', 'JJ'), ('amazing', 'VBG'), ('city', 'NN'), ('views', 'NNS'), ('recommend', 'VBP'), ('hotel', 'NN'), ('anyone', 'NN'), ('visiting', 'VBG'), ('Chicago', 'NNP')]"
8,8,"We stayed for two nights for a meeting. It is an upscale chain hotel and was very clean. The service was very good, as the hotel front desk employees were kind and knowledgeable. The rooms are decent sized and have soft mattresses. The restaurant has good seafood, but was a bit expensive. We would come back again. 
",pos,dec,"[('stayed', 'VBN'), ('two', 'CD'), ('nights', 'NNS'), ('meeting', 'VBG'), ('upscale', 'JJ'), ('chain', 'NN'), ('hotel', 'NN'), ('clean', 'VBP'), ('The', 'DT'), ('service', 'NN'), ('good', 'JJ'), ('hotel', 'NN'), ('front', 'NN'), ('desk', 'NN'), ('employees', 'NNS'), ('kind', 'NN'), ('knowledgeable', 'JJ'), ('The', 'DT'), ('rooms', 'NNS'), ('decent', 'JJ'), ('sized', 'VBD'), ('soft', 'JJ'), ('mattresses', 'NNS'), ('The', 'DT'), ('restaurant', 'NN'), ('good', 'JJ'), ('seafood', 'NN'), ('bit', 'NN'), ('expensive', 'JJ'), ('come', 'VBN'), ('back', 'RP')]"
9,9,"I just came back from this awesome, terrific hotel last week, and I have to say-- I loved it! My wife and I were there for a week due to a business meeting, and right when I stepped into the hotel, I knew that this business vacation will be well spent. The customer service was very great, and an employee even guided us toward our room! We were introduced to a fantastically lit room with 2 beds, a flat screen TV, and even free internet access. My wife loved it, and kept on using the free shampoo and body bath soap. When I headed down to the lobby for my conference, I got lost, and asked one of the people who worked there where my meeting might be held. He leaded me to the door, and I was very impressed. There is a fitness center which I went everyday, and this great restaurant called C-House situated nicely next to the hotel lobby, where I had a nice steak and my wife a salad. All in all, I thought that the trip was really worth it, and my stay was very welcoming at the Affinia Chicago. I highly recommend that whenever you visit Chicago you should stay there, you will not regret it. 
",pos,dec,"[('just', 'RB'), ('came', 'VBD'), ('back', 'RB'), ('awesome', 'JJ'), ('terrific', 'NN'), ('hotel', 'NN'), ('last', 'JJ'), ('week', 'NN'), ('say', 'VBP'), ('loved', 'VBN'), ('wife', 'NN'), ('week', 'NN'), ('due', 'JJ'), ('business', 'NN'), ('meeting', 'NN'), ('right', 'JJ'), ('stepped', 'VBD'), ('hotel', 'NN'), ('knew', 'NN'), ('business', 'NN'), ('vacation', 'NN'), ('will', 'MD'), ('well', 'RB'), ('spent', 'VB'), ('The', 'DT'), ('customer', 'NN'), ('service', 'NN'), ('great', 'JJ'), ('employee', 'NN'), ('even', 'RB'), ('guided', 'VBD'), ('toward', 'IN'), ('room', 'NN'), ('introduced', 'VBN'), ('fantastically', 'RB'), ('lit', 'JJ'), ('room', 'NN'), ('beds', 'NNS'), ('flat', 'JJ'), ('screen', 'JJ'), ('even', 'RB'), ('free', 'JJ'), ('internet', 'NN'), ('access', 'NN'), ('wife', 'NN'), ('loved', 'VBD'), ('kept', 'JJ'), ('using', 'VBG'), ('free', 'JJ'), ('shampoo', 'NN'), ('body', 'NN'), ('bath', 'NN'), ('soap', 'NN'), ('When', 'WRB'), ('headed', 'VBN'), ('lobby', 'NN'), ('conference', 'NN'), ('got', 'VBD'), ('lost', 'VBN'), ('asked', 'VBD'), ('one', 'CD'), ('people', 'NNS'), ('worked', 'VBD'), ('meeting', 'NN'), ('might', 'MD'), ('held', 'VB'), ('leaded', 'JJ'), ('door', 'NN'), ('impressed', 'VBD'), ('There', 'EX'), ('fitness', 'NN'), ('center', 'NN'), ('went', 'VBD'), ('everyday', 'JJ'), ('great', 'JJ'), ('restaurant', 'NN'), ('called', 'VBN'), ('C-House', 'NNP'), ('situated', 'VBD'), ('nicely', 'RB'), ('next', 'JJ'), ('hotel', 'NN'), ('lobby', 'NN'), ('nice', 'JJ'), ('steak', 'JJ'), ('wife', 'NN'), ('salad', 'VBD'), ('All', 'NNP'), ('thought', 'VBD'), ('trip', 'NN'), ('really', 'RB'), ('worth', 'JJ'), ('stay', 'NN'), ('welcoming', 'VBG'), ('Affinia', 'NNP'), ('Chicago', 'NNP'), ('highly', 'RB'), ('recommend', 'VBP'), ('whenever', 'WRB'), ('visit', 'NN'), ('Chicago', 'NNP'), ('stay', 'NN'), ('will', 'MD'), ('regret', 'VB')]"
